lats,lons
14.21,-110.95
14.21,-110.91
14.21,-110.86
14.21,-110.81
14.21,-110.77
14.21,-110.73
14.21,-110.68
14.21,-110.64
14.21,-110.59
14.21,-110.55
14.21,-110.5
14.21,-110.45
14.21,-110.41
14.21,-110.37
14.21,-110.32
14.21,-110.28
14.21,-110.23
14.21,-110.19
14.21,-110.14
14.21,-110.09
14.21,-110.05
14.21,-110.01
14.21,-109.96
14.21,-109.92
14.21,-109.87
14.21,-109.83
14.21,-109.78
14.21,-109.73
14.21,-109.69
14.21,-109.65
14.21,-109.6
14.21,-109.56
14.21,-109.51
14.21,-109.47
14.21,-109.42
14.21,-109.38
14.21,-109.33
14.21,-109.28
14.21,-109.24
14.21,-109.2
14.21,-109.15
14.21,-109.11
14.21,-109.06
14.21,-109.02
14.21,-108.97
14.21,-108.93
14.21,-108.88
14.21,-108.84
14.21,-108.79
14.21,-108.75
14.21,-108.7
14.21,-108.66
14.21,-108.61
14.21,-108.56
14.21,-108.52
14.21,-108.48
14.21,-108.43
14.21,-108.39
14.21,-108.34
14.21,-108.3
14.21,-108.25
14.21,-108.2
14.21,-108.16
14.21,-108.12
14.21,-108.07
14.21,-108.03
14.21,-107.98
14.21,-107.94
14.21,-107.89
14.21,-107.84
14.21,-107.8
14.21,-107.76
14.21,-107.71
14.21,-107.67
14.21,-107.62
14.21,-107.58
14.21,-107.53
14.21,-107.48
14.21,-107.44
14.21,-107.4
14.21,-107.35
14.21,-107.31
14.21,-107.26
14.21,-107.22
14.21,-107.17
14.21,-107.12
14.21,-107.08
14.21,-107.03
14.21,-106.99
14.21,-106.95
14.21,-106.9
14.21,-106.86
14.21,-106.81
14.21,-106.77
14.21,-106.72
14.21,-106.68
14.21,-106.63
14.21,-106.59
14.21,-106.54
14.21,-106.5
14.21,-106.45
14.21,-106.41
14.21,-106.36
14.21,-106.31
14.21,-106.27
14.21,-106.23
14.21,-106.18
14.21,-106.14
14.21,-106.09
14.21,-106.05
14.21,-106.0
14.21,-105.95
14.21,-105.91
14.21,-105.87
14.21,-105.82
14.21,-105.78
14.21,-105.73
14.21,-105.69
14.21,-105.64
14.21,-105.59
14.21,-105.55
14.21,-105.51
14.21,-105.46
14.21,-105.42
14.21,-105.37
14.21,-105.33
14.21,-105.28
14.21,-105.23
14.21,-105.19
14.21,-105.15
14.21,-105.1
14.21,-105.06
14.21,-105.01
14.21,-104.97
14.21,-104.92
14.21,-104.88
14.21,-104.83
14.21,-104.78
14.21,-104.74
14.21,-104.7
14.21,-104.65
14.21,-104.61
14.21,-104.56
14.21,-104.52
14.21,-104.47
14.21,-104.43
14.21,-104.38
14.21,-104.34
14.21,-104.29
14.21,-104.25
14.21,-104.2
14.21,-104.16
14.21,-104.11
14.21,-104.06
14.21,-104.02
14.21,-103.98
14.21,-103.93
14.21,-103.89
14.21,-103.84
14.21,-103.8
14.21,-103.75
14.21,-103.7
14.21,-103.66
14.21,-103.62
14.21,-103.57
14.21,-103.53
14.21,-103.48
14.21,-103.44
14.21,-103.39
14.21,-103.34
14.21,-103.3
14.21,-103.26
14.21,-103.21
14.21,-103.17
14.21,-103.12
14.21,-103.08
14.21,-103.03
14.21,-102.98
14.21,-102.94
14.21,-102.9
14.21,-102.85
14.21,-102.81
14.21,-102.76
14.21,-102.72
14.21,-102.67
14.21,-102.62
14.21,-102.58
14.21,-102.53
14.21,-102.49
14.21,-102.45
14.21,-102.4
14.21,-102.36
14.21,-102.31
14.21,-102.27
14.21,-102.22
14.21,-102.18
14.21,-102.13
14.21,-102.09
14.21,-102.04
14.21,-102.0
14.21,-101.95
14.21,-101.91
14.21,-101.86
14.21,-101.81
14.21,-101.77
14.21,-101.73
14.21,-101.68
14.21,-101.64
14.21,-101.59
14.21,-101.55
14.21,-101.5
14.21,-101.45
14.21,-101.41
14.21,-101.37
14.21,-101.32
14.21,-101.28
14.21,-101.23
14.21,-101.19
14.21,-101.14
14.21,-101.09
14.21,-101.05
14.21,-101.0
14.21,-100.96
14.21,-100.92
14.21,-100.87
14.21,-100.83
14.21,-100.78
14.21,-100.73
14.21,-100.69
14.21,-100.65
14.21,-100.6
14.21,-100.56
14.21,-100.51
14.21,-100.47
14.21,-100.42
14.21,-100.38
14.21,-100.33
14.21,-100.28
14.21,-100.24
14.21,-100.2
14.21,-100.15
14.21,-100.11
14.21,-100.06
14.21,-100.02
14.21,-99.97
14.21,-99.93
14.21,-99.88
14.21,-99.84
14.21,-99.79
14.21,-99.75
14.21,-99.7
14.21,-99.66
14.21,-99.61
14.21,-99.56
14.21,-99.52
14.21,-99.48
14.21,-99.43
14.21,-99.39
14.21,-99.34
14.21,-99.3
14.21,-99.25
14.21,-99.21
14.21,-99.16
14.21,-99.12
14.21,-99.07
14.21,-99.03
14.21,-98.98
14.21,-98.94
14.21,-98.89
14.21,-98.84
14.21,-98.8
14.21,-98.75
14.21,-98.71
14.21,-98.67
14.21,-98.62
14.21,-98.58
14.21,-98.53
14.21,-98.48
14.21,-98.44
14.21,-98.4
14.21,-98.35
14.21,-98.31
14.21,-98.26
14.21,-98.22
14.21,-98.17
14.21,-98.12
14.21,-98.08
14.21,-98.03
14.21,-97.99
14.21,-97.95
14.21,-97.9
14.21,-97.86
14.21,-97.81
14.21,-97.77
14.21,-97.72
14.21,-97.68
14.21,-97.63
14.21,-97.59
14.21,-97.54
14.21,-97.5
14.21,-97.45
14.21,-97.41
14.21,-97.36
14.21,-97.31
14.21,-97.27
14.21,-97.23
14.21,-97.18
14.21,-97.14
14.21,-97.09
14.21,-97.05
14.21,-97.0
14.21,-96.96
14.21,-96.91
14.21,-96.87
14.21,-96.82
14.21,-96.78
14.21,-96.73
14.21,-96.69
14.21,-96.64
14.21,-96.59
14.21,-96.55
14.21,-96.5
14.21,-96.46
14.21,-96.42
14.21,-96.37
14.21,-96.33
14.21,-96.28
14.21,-96.23
14.21,-96.19
14.21,-96.15
14.21,-96.1
14.21,-96.06
14.21,-96.01
14.21,-95.97
14.21,-95.92
14.21,-95.88
14.21,-95.83
14.21,-95.78
14.21,-95.74
14.21,-95.7
14.21,-95.65
14.21,-95.61
14.21,-95.56
14.21,-95.52
14.21,-95.47
14.21,-95.43
14.21,-95.38
14.21,-95.34
14.21,-95.29
14.21,-95.25
14.21,-95.2
14.21,-95.16
14.21,-95.11
14.21,-95.06
14.21,-95.02
14.21,-94.98
14.21,-94.93
14.21,-94.89
14.21,-94.84
14.21,-94.8
14.21,-94.75
14.21,-94.71
14.21,-94.66
14.21,-94.62
14.21,-94.57
14.21,-94.53
14.21,-94.48
14.21,-94.44
14.21,-94.39
14.21,-94.34
14.21,-94.3
14.21,-94.25
14.21,-94.21
14.21,-94.17
14.21,-94.12
14.21,-94.08
14.21,-94.03
14.21,-93.98
14.21,-93.94
14.21,-93.9
14.21,-93.85
14.21,-93.81
14.21,-93.76
14.21,-93.72
14.21,-93.67
14.21,-93.62
14.21,-93.58
14.21,-93.53
14.21,-93.49
14.21,-93.45
14.21,-93.4
14.21,-93.36
14.21,-93.31
14.21,-93.27
14.21,-93.22
14.21,-93.18
14.21,-93.13
14.21,-93.09
14.21,-93.04
14.21,-93.0
14.21,-92.95
14.21,-92.91
14.21,-92.86
14.21,-92.81
14.21,-92.77
14.21,-92.73
14.21,-92.68
14.21,-92.64
14.21,-92.59
14.21,-92.55
14.21,-92.5
14.21,-92.46
14.21,-92.41
14.21,-92.37
14.21,-92.32
14.21,-92.28
14.21,-92.23
14.21,-92.19
14.21,-92.14
14.21,-92.09
14.21,-92.05
14.21,-92.01
14.21,-91.96
14.21,-91.92
14.21,-91.87
14.21,-91.83
14.21,-91.78
14.21,-91.73
14.21,-91.69
14.21,-91.65
14.21,-91.6
14.21,-91.56
14.21,-91.51
14.21,-91.47
14.21,-91.42
14.21,-91.38
14.21,-91.33
14.21,-91.28
14.21,-91.24
14.21,-91.2
14.21,-91.15
14.21,-91.11
14.21,-91.06
14.21,-91.02
14.21,-90.97
14.21,-90.93
14.21,-90.88
14.21,-90.84
14.21,-90.79
14.21,-90.75
14.21,-90.7
14.21,-90.66
14.21,-90.61
14.21,-90.56
14.21,-90.52
14.21,-90.48
14.21,-90.43
14.21,-90.39
14.21,-90.34
14.21,-90.3
14.21,-90.25
14.21,-90.21
14.21,-90.16
14.21,-90.12
14.21,-90.07
14.21,-90.03
14.21,-89.98
14.21,-89.94
14.21,-89.89
14.21,-89.84
14.21,-89.8
14.21,-89.76
14.21,-89.71
14.21,-89.67
14.21,-89.62
14.21,-89.58
14.21,-89.53
14.21,-89.48
14.21,-89.44
14.21,-89.4
14.21,-89.35
14.21,-89.31
14.21,-89.26
14.21,-89.22
14.21,-89.17
14.21,-89.12
14.21,-89.08
14.21,-89.03
14.21,-88.99
14.21,-88.95
14.21,-88.9
14.21,-88.86
14.21,-88.81
14.21,-88.77
14.21,-88.72
14.21,-88.68
14.21,-88.63
14.21,-88.59
14.21,-88.54
14.21,-88.5
14.21,-88.45
14.21,-88.41
14.21,-88.36
14.21,-88.31
14.21,-88.27
14.21,-88.23
14.21,-88.18
14.21,-88.14
14.21,-88.09
14.21,-88.05
14.21,-88.0
14.21,-87.96
14.21,-87.91
14.21,-87.87
14.21,-87.82
14.21,-87.78
14.21,-87.73
14.21,-87.69
14.21,-87.64
14.21,-87.59
14.21,-87.55
14.21,-87.51
14.21,-87.46
14.21,-87.42
14.21,-87.37
14.21,-87.33
14.21,-87.28
14.21,-87.23
14.21,-87.19
14.21,-87.15
14.21,-87.1
14.21,-87.06
14.21,-87.01
14.21,-86.97
14.21,-86.92
14.21,-86.88
14.21,-86.83
14.21,-86.78
14.21,-86.74
14.21,-86.7
14.21,-86.65
14.21,-86.61
14.21,-86.56
14.21,-86.52
14.21,-86.47
14.21,-86.43
14.21,-86.38
14.21,-86.34
14.21,-86.29
14.21,-86.25
14.21,-86.2
14.21,-86.16
14.21,-86.11
14.21,-86.06
14.21,-86.02
14.21,-85.98
14.21,-85.93
14.21,-85.89
14.21,-85.84
14.21,-85.8
14.26,-117.34
14.26,-117.3
14.26,-117.25
14.26,-117.2
14.26,-117.16
14.26,-117.12
14.26,-117.07
14.26,-117.03
14.26,-116.98
14.26,-116.94
14.26,-116.89
14.26,-116.84
14.26,-116.8
14.26,-116.76
14.26,-116.71
14.26,-116.67
14.26,-116.62
14.26,-116.58
14.26,-116.53
14.26,-116.48
14.26,-116.44
14.26,-116.4
14.26,-116.35
14.26,-116.31
14.26,-116.26
14.26,-116.22
14.26,-116.17
14.26,-116.12
14.26,-116.08
14.26,-116.03
14.26,-115.99
14.26,-115.95
14.26,-115.9
14.26,-115.86
14.26,-115.81
14.26,-115.77
14.26,-115.72
14.26,-115.67
14.26,-115.63
14.26,-115.59
14.26,-115.54
14.26,-115.5
14.26,-115.45
14.26,-115.41
14.26,-115.36
14.26,-115.31
14.26,-115.27
14.26,-115.23
14.26,-115.18
14.26,-115.14
14.26,-115.09
14.26,-115.05
14.26,-115.0
14.26,-114.95
14.26,-114.91
14.26,-114.87
14.26,-114.82
14.26,-114.78
14.26,-114.73
14.26,-114.69
14.26,-114.64
14.26,-114.59
14.26,-114.55
14.26,-114.51
14.26,-114.46
14.26,-114.42
14.26,-114.37
14.26,-114.33
14.26,-114.28
14.26,-114.23
14.26,-114.19
14.26,-114.15
14.26,-114.1
14.26,-114.06
14.26,-114.01
14.26,-113.97
14.26,-113.92
14.26,-113.88
14.26,-113.83
14.26,-113.78
14.26,-113.74
14.26,-113.7
14.26,-113.65
14.26,-113.61
14.26,-113.56
