,in_apple_playlists,in_apple_charts,Artista,id_artista
591,16,20,"SZA, Phoebe Bridgers",348
592,126,108,"Frank Sinatra, B. Swanson Quartet",349
593,13,87,"SZA, Travis Scott",350
594,73,79,"Bing Crosby, John Scott Trotter & His Orchestra, Ken Darby Singers",351
595,50,0,Chris Rea,352
596,121,58,Darlene Love,353
597,72,90,"Ed Sheeran, Elton John",354
598,89,39,"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",355
599,115,53,Britney Spears,356
600,10,6,"Mabel Matiz, Mert Demir",357
601,2,74,RM,358
602,3,7,"Travis Scott, Metro Boomin",359
603,33,57,"Taylor Swift, Lana Del Rey",360
604,27,77,"Bad Bunny, Jhay Cortez",362
605,189,166,"Bad Bunny, Jhay Cortez",362
606,108,56,"Gwen Stefani, Blake Shelton",363
607,83,58,"Chencho Corleone, Rauw Alejandro",364
608,38,64,"Bad Bunny, Rauw Alejandro",365
609,120,30,Chuck Berry,366
610,32,3,Frank Sinatra,367
611,2,2,"John Legend, Metro Boomin",368
612,39,50,"Maldy, Karol G",369
613,170,12,Gayle,370
614,65,7,"Lauren Spencer Smith, Lauren Spencer Smith, Lauren Spencer Smith",371
615,183,63,"Cherish, ACRAZE",372
616,95,89,"Adassa, Mauro Castillo, Stephanie Beatriz, Encanto - Cast, Rhenzy Feliz, Diane Guerrero, Carolina Gaitan",373
617,252,109,Farruko,374
618,24,0,Jaymes Young,375
619,7,18,"The Weeknd, Tyler, The Creator",376
620,382,65,"SZA, Doja Cat",377
621,9,10,"The Weeknd, Lil Wayne",378
622,74,0,Ckay,379
623,38,48,Jessica Darrow,380
624,68,18,"The Weeknd, Post Malone",381
625,67,13,"Aitana, zzoilo",383
626,61,65,"Julieta Venegas, Bad Bunny, Tainy",384
627,44,109,Lisa,385
628,114,172,"The Weeknd, Swedish House Mafia",387
629,85,43,"Juan Cruz Toledo, Huilen Toledo",388
630,34,23,BoyWithUke,389
631,32,0,"Lit Killah, Maria Becerra, Tiago pzk, NICKI NICOLE",391
632,45,0,Emmy Meli,392
633,56,8,Shawn Mendes,394
634,75,11,Shawn Mendes,394
635,229,57,Shawn Mendes,394
636,52,15,Kodak Black,395
637,138,24,"Aventura, Bad Bunny",396
638,188,75,Rauw Alejandro,397
639,36,82,Rauw Alejandro,397
640,63,40,"Bruno Mars, Anderson .Paak, Silk Sonic",398
641,237,123,"Bruno Mars, Anderson .Paak, Silk Sonic",398
642,47,14,"THE ANXIETY, Willow, Tyler Cole",399
643,77,31,Sebastian Yatra,400
644,24,47,Sebastian Yatra,400
645,231,52,"Justin Bieber, Daniel Caesar, Giveon",401
646,20,4,"Bizarrap, Tiago pzk",402
647,41,122,Stromae,403
648,86,76,"Chris Brown, Rvssian, Rauw Alejandro",404
649,105,2,"NEIKED, Mae Muller, Polo G",405
650,43,15,Oliver Tree,406
651,69,3,"Kali Uchis, Amaarae, Moliy",407
652,54,28,"Young Thug, Future, Gunna",408
653,83,9,"Doja Cat, The Weeknd",409
654,44,0,Jnr Choi,410
655,17,5,"Trueno, Tiago pzk",411
656,101,34,"Sech, Bad Bunny, Mora",412
657,45,43,"Drake, Project Pat, 21 Savage",413
658,16,0,Edison Lighthouse,415
659,20,38,"Olga Merediz, Stephanie Beatriz, Encanto - Cast",417
660,23,21,Surf Curse,418
661,111,5,Jason Derulo,419
662,3,0,"21 Savage, Gunna",420
663,237,27,"24kgoldn, Iann Dior",421
664,13,27,"Stephanie Beatriz, Diane Guerrero",422
665,14,14,Trueno,423
666,24,6,Kanye West,424
667,63,39,Kanye West,424
668,33,11,Kanye West,424
669,25,3,Playboi Carti,425
670,103,76,Maluma,426
671,60,17,"Ed Sheeran, Fireboy DML",427
672,54,16,"Prezioso, Gabry Ponte, LUM!X",428
673,20,99,TWICE,431
674,14,77,TWICE,431
675,111,127,Giveon,432
676,92,127,"Sean Paul, Dua Lipa",433
677,122,11,"Charli XCX, Jax Jones, Joel Corry, Saweetie",434
678,4,2,SALES,435
679,29,0,Sleepy hallow,436
680,146,18,Masked Wolf,437
681,101,12,"Anuel Aa, Jhay Cortez",438
682,30,2,NIKI,439
683,167,19,Tate McRae,440
684,105,12,Tate McRae,440
685,92,122,Avicii,441
686,315,160,Avicii,441
687,144,30,"Drake, Future, Young Thug",442
688,8,8,"Imagine Dragons, League of Legends, Arcane",443
689,533,167,Tones and I,444
690,188,34,Juice WRLD,445
691,11,0,Juice WRLD,445
692,92,34,"J Balvin, Maria Becerra",446
693,308,118,John Legend,447
694,265,121,Nirvana,448
695,45,27,Nirvana,448
696,107,47,Duncan Laurence,449
697,118,116,"Drake, Travis Scott",450
698,22,3,"Tini, L-Gante",451
699,0,4,SiM,452
700,114,15,"Kendrick Lamar, Baby Keem",453
701,306,99,The Killers,454
702,93,5,"J Balvin, Nio Garcia, Bad Bunny",455
703,368,155,"Lady Gaga, Bradley Cooper",456
704,143,24,"Marshmello, Jonas Brothers",457
705,209,54,"Riton, Nightcrawlers, Mufasa & Hypeman, Dopamine",458
706,141,12,Polo G,459
707,78,46,"Eminem, Nate Dogg",460
708,272,67,Maroon 5,461
709,17,3,"Gunna, Lil Baby",463
710,89,21,"Katy Perry, Alesso",464
711,61,23,"Tini, Maria Becerra",466
712,30,26,"Anuel Aa, Myke Towers, Jhay Cortez",467
713,151,102,"Karol G, Becky G",468
714,141,78,"Dr. Dre, Snoop Dogg",469
715,142,40,"Dr. Dre, Snoop Dogg",469
716,76,0,Dove Cameron,470
717,46,1,"Ed Sheeran, Taylor Swift",471
718,119,6,Charlie Puth,472
719,11,6,Charlie Puth,472
720,34,3,"Kanye West, Alicia Keys, Fivio Foreign",473
721,34,1,"Mahmood, Blanco",474
722,235,106,50 Cent,475
723,13,0,Yung Lean,476
724,33,123,"Labrinth, Zendaya",477
725,22,13,The Rare Occasions,478
726,7,21,"Intense, AP Dhillon, Gurinder Gill",479
727,128,17,"Dr. Dre, 2Pac, Roger",481
728,78,15,"Eminem, Dr. Dre",482
729,8,0,"Eminem, Dr. Dre",482
730,57,13,"Luude, Colin Hay",483
731,44,63,Ryan Castro,484
732,29,2,Ryan Castro,484
733,284,114,Kendrick Lamar,485
734,52,16,Kendrick Lamar,485
