,Artista,in_spotify_playlists,in_spotify_charts,id_artista
484,"Gorillaz, Bad Bunny",1529,0,254
485,"j-hope, J. Cole",615,2,255
486,"Robin Schulz, Oliver Tree",5730,10,256
487,"Don Toliver, Future, Justin Bieber",1190,0,257
488,Niall Horan,1553,2,258
489,Central Cee,2301,20,259
490,Central Cee,4169,44,259
491,Mahalini,134,4,260
492,"Arijit Singh, Sachin-Jigar",86,0,261
493,ThxSoMch,629,14,262
494,ThxSoMch,573,0,262
495,"Myke Towers, Quevedo",1701,15,263
496,"Morgan Wallen, Eric Church",329,0,264
497,Nicki Minaj,1168,0,265
498,Nicki Minaj,4827,0,265
499,Kaifi Khalil,162,6,266
500,"Karol G, Quevedo",387,11,267
501,Lady Gaga,3909,0,268
502,Lady Gaga,2528,0,268
503,"Ozuna, Shakira",3645,15,269
504,Leo Santana,531,4,270
505,Treyce,242,0,271
506,"Post Malone, Doja Cat",5281,14,272
507,"MC Xenon, Os Gemeos da Putaria",454,4,273
508,"Imagine Dragons, League of Legends, JID, Arcane",6180,7,274
509,XXXTENTACION,3600,11,275
510,XXXTENTACION,3659,0,275
511,"Israel & Rodolffo, Ana Castela",1254,6,276
512,"J Balvin, Bad Bunny",6398,31,277
513,"Yuridia, Angela Aguilar",660,15,278
514,The Kid Laroi,1283,0,279
515,The Kid Laroi,2050,0,279
516,Lizzo,2332,2,280
517,Lizzo,9021,0,280
518,Lizzo,3682,6,280
519,Fujii Kaze,685,14,281
520,King,288,6,283
521,"Coldplay, BTS",6127,13,284
522,"Sam Smith, Calvin Harris, Jessie Reyez",1890,0,285
523,P!nk,2098,16,286
524,LE SSERAFIM,761,12,287
525,LE SSERAFIM,629,0,287
526,PinkPantheress,1225,0,288
527,"TAEYANG, Jimin",415,2,289
528,Rihanna,3311,0,290
529,Lil Nas X,2616,0,291
530,Lil Nas X,12329,0,291
531,Lil Nas X,7963,0,291
532,Beach Weather,3006,16,292
533,"Halsey, BTS",4260,0,293
534,Baby Tate,482,0,294
535,"Arijit Singh, Vishal Dadlani, Sukriti Kakar, Vishal-Shekhar, Shekhar Ravjiani, Kumaar",138,4,296
536,Beach House,17852,4,297
537,"BTS, Jung Kook, FIFA Sound",889,20,298
538,"Shakira, Rauw Alejandro",4796,9,299
539,"Steve Aoki, Tini, La Joaqui",658,6,300
540,Sam Smith,17492,3,301
541,Conan Gray,6170,7,302
542,"Vishal-Shekhar, Shilpa Rao, Caralisa Monteiro, Kumaar, Vishal Dadlani, Shekhar Ravjiani",130,4,303
543,"Calvin Harris, Dua Lipa",27705,10,304
544,TOMORROW X TOGETHER,359,0,305
545,"Drake, Future, Tems",5491,14,306
546,Mr.Kitty,1776,14,307
547,"Gustavo Mioto, Mari Fernandez",1473,4,308
548,"Jack Harlow, Lil Nas X",13315,0,309
549,Seafret,3045,6,311
550,"Baby Rasta, Rauw Alejandro",3006,12,312
551,"DJ Escobar, MC MENOR SG, MC MENOR HR",852,0,313
552,Dean Lewis,2163,15,314
553,Bellakath,1054,0,315
554,"Skrillex, Flowdan, Fred again..",2849,0,316
555,"Travis Scott, 21 Savage, Metro Boomin",1602,0,317
556,Kate Bush,21811,0,318
557,Aerosmith,168,0,319
558,Freddie Dredd,688,0,320
559,"Lost Frequencies, Calum Scott",10565,44,321
560,"Twisted, Oliver Tree",1612,0,322
561,Kenshi Yonezu,574,4,323
562,Omar Apollo,2499,0,324
563,"Dua Lipa, DaBaby",15894,8,325
564,Doja Cat,9424,0,326
565,Doja Cat,6672,0,326
566,Doja Cat,4999,0,326
567,Doja Cat,5728,0,326
568,Doja Cat,3436,0,326
569,Doja Cat,4576,0,326
570,"James Hype, Miggy Dela Rosa",7758,28,327
571,"Pritam, Arijit Singh, Amitabh Bhattacharya",292,6,328
572,"Styrx, utku INC, Thezth",323,0,329
573,"Maroon 5, Wiz Khalifa",14143,4,330
574,Mariah Carey,25653,0,331
575,Wham!,22153,0,332
576,Brenda Lee,14994,0,333
577,Bobby Helms,10326,0,334
578,Ariana Grande,9408,0,336
579,Ariana Grande,8207,0,336
580,Andy Williams,8879,0,337
581,Dean Martin,6512,0,338
582,Kelly Clarkson,6596,0,339
583,The Ronettes,10114,0,341
584,"John Lennon, The Harlem Community Choir, The Plastic Ono Band, Yoko Ono",10829,0,342
585,"SZA, Don Toliver",1042,0,343
586,Burl Ives,7930,0,344
587,Nat King Cole,11500,0,345
588,Nat King Cole,3299,0,345
589,Paul McCartney,1685,0,346
590,Band Aid,14169,0,347
591,"SZA, Phoebe Bridgers",1634,0,348
592,"Frank Sinatra, B. Swanson Quartet",10585,0,349
593,"SZA, Travis Scott",1420,4,350
594,"Bing Crosby, John Scott Trotter & His Orchestra, Ken Darby Singers",11940,0,351
595,Chris Rea,888,0,352
596,Darlene Love,9122,0,353
597,"Ed Sheeran, Elton John",2209,0,354
598,"Perry Como, The Fontane Sisters, Mitchell Ayres & His Orchestra",6290,0,355
599,Britney Spears,6952,0,356
600,"Mabel Matiz, Mert Demir",313,2,357
601,RM,353,2,358
602,"Travis Scott, Metro Boomin",880,0,359
603,"Taylor Swift, Lana Del Rey",2415,0,360
