Artista,in_deezer_playlists,in_deezer_charts
Luï¿½ï¿½sa Sonza  MC Frog  Dj Gabriel do Borel  Davi K,49,0
Harry Styles,254,0
Ed Sheeran  J Balvin,60,0
teto,31,0
Stray Kids,20,0
Shawn Mendes,1370,2
Blackbear  BoyWithUke,13,0
Harry Styles,200,0
Pharrell Williams  Nile Rodgers  Daft Punk,8215,0
Doja Cat,46,0
Jordan Fisher  Josh Levi  Finneas OConnell  4*TOWN (From Disney and Pixarï¿½ï¿½ï¿½s Turning Red)  Topher Ngo  Grayson Vill,30,0
BIGBANG,7,0
Ed Sheeran,2453,0
Justin Bieber,2430,0
Kendrick Lamar,65,0
Lizzo,272,21
Kendrick Lamar  Blxst  Amanda Reifer,32,0
Bad Bunny,24,0
Bad Bunny,13,1
Kendrick Lamar,12,0
Kendrick Lamar  Sampha,22,0
Bad Bunny,11,0
Kendrick Lamar,33,0
Post Malone  Roddy Ricch,43,0
Bad Bunny,22,1
Kendrick Lamar  Kodak Black,23,0
Tony Dize  Bad Bunny,18,1
Kendrick Lamar,13,0
Buscabulla  Bad Bunny,13,1
Bad Bunny,11,0
Kendrick Lamar  Taylour Paige,6,0
Kendrick Lamar  Sam Dew  Baby Keem,8,0
Bad Bunny,9,0
Bad Bunny  The Marï¿½ï,13,0
Kendrick Lamar,5,0
Bad Bunny,10,0
Kendrick Lamar  Ghostface Killah  Summer Walker,7,0
Bad Bunny,9,0
Polima WestCoast  Pailita,34,1
Bad Bunny,12,0
Bad Bunny,14,0
Bad Bunny  Tainy,355,7
Jack Harlow,3,0
Bad Bunny,8,0
Panic! At The Disco,150,0
Kendrick Lamar  Tanna Leone,3,0
PSY  Suga,23,0
Benson Boone,87,1
Kendrick Lamar,0,0
Mï¿½ï¿½ne,173,11
KALUSH,4,0
The Kid Laroi,46,0
Kendrick Lamar,10,0
Kendrick Lamar,4,0
Future,23,0
Kendrick Lamar,4,0
Luciano,18,0
Bizarrap  Paulo Londra,7,0
Kendrick Lamar,3,0
Shae Gill  Ali Sethi,3,0
Kendrick Lamar  Beth Gibbons,2,0
Sech  Mora,9,0
MNEK  Jax Jones,119,1
Ugly Dray  Tesla Jnr,3,0
Justin Bieber  Don Toliver,17,0
Jessi,14,0
Chanel,19,0
LE SSERAFIM,9,0
Leah Kate,15,0
Sam Ryder,32,0
HA SUNG WOON  Jimin,11,1
The Goo Goo Dolls,582,0
Kendrick Lamar,30,0
Kevin Kaarl,5,0
Taylor Swift,15,0
Suki Waterhouse,25,0
Lauren Spencer Smith,24,1
BTS,26,0
BTS,17,0
Harry Styles,66,0
Harry Styles,79,0
BTS,12,0
Harry Styles,40,0
Doja Cat,93,0
Pharrell Williams  Tyler  The Creator  21 Savage,29,0
Calvin Harris  Dua Lipa  Young Thug,119,0
BTS,6,0
Harry Styles,39,0
Nengo Flow  Anuel Aa  Chris Jedi  Chencho Corleone,31,0
Kanye West  XXXTENTACION,44,1
Harry Styles,79,0
Musical Youth,900,0
Bizarrap  Villano Antillano,17,0
Harry Styles,31,0
Harry Styles,15,0
Halsey,19,0
BYOR  Imanbek,301,1
Harry Styles,18,0
Harry Styles,28,0
Sleepy hallow  347aidan,15,0
Paloma Faith,365,0
Lady Gaga,270,2
Harry Styles,23,0
Marshmello  Khalid,86,1
Ozuna  Tiago pzk,2,0
Childish Gambino,107,1
David Guetta  Ella Henderson  Becky Hill,142,0
Joji,65,0
Duki,8,0
Harry Styles,30,0
Sidhu Moose Wala,0,0
Keisya Levronka,0,0
Victor Cibrian,1,0
Metallica,406,1
Beyoncï¿,259,14
De La Ghetto  Feid  Polima WestCoast  Paloma Mami  Pailita,38,2
Drake,61,0
Yung Gravy,26,0
Lasso,15,1
Nayeon,14,0
Schï¿½ï¿½rze  DJ R,24,1
j-hope,11,0
Guns N Roses,6720,3
Burna Boy,150,3
Rosa Linn,63,0
Drake,25,0
Kanye West  Lil Durk  Cardi B,2,0
L7nnon  DJ Biel do Furduncinho  Bianca,54,0
Anitta  Tini  Becky G,57,0
Nessa Barrett,22,0
LF System,128,0
Mc Vitin Da Igrejinha  MC Tairon  DJ Win,24,0
Rels B,20,0
Snoop Dogg  BTS  Benny Blanco,33,0
Drake  DJ Khaled  Lil Baby,50,0
Luar La L,15,0
Feid,18,0
Duki,12,0
Beyoncï¿,36,0
Ghost,78,0
NewJeans,9,0
Rex Orange County,16,0
Sofia Carson,195,0
Grupo Marca Registrada  Junior H,3,1
