Nombre artista,in_apple_playlists,in_apple_charts
"Anitta, Tini, Becky G",49,3
Nessa Barrett,25,0
LF System,129,55
"Mc Vitin Da Igrejinha, MC Tairon, DJ Win",17,0
Rels B,16,15
"Snoop Dogg, BTS, Benny Blanco",53,2
"Drake, DJ Khaled, Lil Baby",51,1
Luar La L,17,12
Feid,23,10
Duki,13,18
Beyoncï¿,39,47
Ghost,38,266
NewJeans,14,141
Rex Orange County,17,10
Sofia Carson,28,67
"Grupo Marca Registrada, Junior H",10,43
Kanye West,63,39
"Calvin Harris, Halsey, Pharrell Williams, Justin Timberlake",54,6
"Peso Pluma, Luis R Conriquez",15,79
"Luis R Conriquez, La Adictiva",15,33
"David Guetta, Shakira, Black Eyed Peas",81,4
"Melody, Ana Castela, Dj Chris No Beat",22,2
"Elton John, Britney Spears",165,10
Lewis Capaldi,93,95
IVE,20,129
Kanye West,33,11
"Interplanetary Criminal, Eliza Rose",102,53
TWICE,14,77
Armani White,49,1
Feid,20,49
Oxlade,117,72
Feid,25,36
Steve Lacy,21,15
Coldplay,124,25
Coldplay,24,0
YEAT,10,1
"Yandel, Feid",6,1
PnB Rock,15,0
"Ovy On The Drums, Quevedo",18,10
Feid,3,0
Lil Yachty,38,0
Mï¿½ï¿½ne,78,65
"Marshmello, Juice WRLD",16,0
"Fran C, Polima WestCoast, Nickoog Clk, Pablito Pesadilla",14,1
(G)I-DLE,14,116
Southstar,77,10
girl in red,31,21
Lizzo,41,0
Ed Sheeran,86,14
BLACKPINK,2,129
"Rosa Walton, Hallie Coggins",0,0
Lil Baby,36,38
"Luciano, Aitch, Bï¿½",14,12
"MC Ryan SP, Love Funk, Mc Paiva ZS",0,0
"Drake, 21 Savage",22,7
"Drake, Travis Scott, 21 Savage",24,8
Taylor Swift,12,9
Taylor Swift,10,3
"Drake, 21 Savage",9,20
Taylor Swift,7,5
"Drake, 21 Savage",26,9
Taylor Swift,6,3
"Drake, 21 Savage",26,52
Taylor Swift,9,6
Taylor Swift,4,5
"Ludwig Goransson, Foudeqush",8,1
"Drake, 21 Savage",6,5
Jin,10,100
Drake,8,5
"Drake, 21 Savage",3,8
Taylor Swift,1,6
Selena Gomez,61,13
Taylor Swift,4,0
"Feid, Paulo Londra",2,0
"Feid, Sech, Jhayco",29,26
Burna Boy,27,18
